Date,Type,Link
2025-11-07 13:07:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392169715478999040?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7392169715478999040%2C7392295718864105472%29
2025-10-29 13:09:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7383275887321841664
2025-10-27 01:05:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384677444806561792?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7384677444806561792%2C7384770503363686400%29
2025-10-27 01:04:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7384677444806561792?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7384677444806561792%2C7384697129270935553%29
2025-10-27 01:03:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383762259056947200
2025-10-09 13:16:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381726975087984640
2025-09-25 22:32:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375913097221525504?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7375913097221525504%2C7375940263577366528%29
2025-09-18 17:41:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7374382540452941825
2025-09-15 11:12:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371958497409699840
2025-08-23 18:35:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357196070449209344
2025-08-06 17:53:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7353411739285168128
2025-08-06 17:53:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7354543176495296512
2025-08-06 17:52:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7354094645808619521
2025-07-21 17:45:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345412434108555265
2024-08-27 13:45:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7232008661651369987
2024-07-31 13:23:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7224343079288270848
2024-07-29 11:28:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7222338151162236928
2024-07-29 11:27:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7214368958961848320
2024-07-29 11:27:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7213586879953207296
2024-07-29 11:27:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7220848688040992768
2024-07-29 11:27:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7219299838188761088
2024-03-04 20:07:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7100101650987528192
2024-03-04 20:07:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7169072669982736384
2024-01-20 10:40:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7153730495988543488
